isin,ticker,name,yahoo_symbol,yahoo_name
IE000RHYOR04,ERNX,iShares EUR Ultrashort Bond UCITS ETF EUR (Acc),ERNX.DE,iShares € Ultrashort Bond UCITS ETF EUR (Acc)
IE00BKWD3B81,EHBA,Invesco Euro Corporate Hybrid Bond UCITS ETF Acc,EHBA.DE,Invesco Euro Corporate Hybrid Bond UCITS ETF Acc
IE00BKWD3966,EHBD,Invesco Euro Corporate Hybrid Bond UCITS ETF Dist,EHBD.DE,Invesco Euro Corporate Hybrid Bond UCITS ETF Inc
DE000ETFL532,ELFF,Deka Euro Corporates 0-3 Liquid UCITS ETF,ELFF.DE,Deka Euro Corporates 0-3 Liquid UCITS ETF
DE000ETFL227,EL4W,Deka Deutsche Boerse EUROGOV Germany Money Market UCITS ETF,EL4W.DE,Deka Deutsche Börse EUROGOV Germany Money Market UCITS ETF
IE00BD8D5G25,EUHA,PIMCO Advantage Euro Short-Term High Yield Corporate Bond UCITS ETF Acc,EUHA.DE,PIMCO Advantage Euro Short-Term High Yield Corporate Bond Index UCITS ETF EUR Accumulation
IE00BD8D5H32,EUHI,PIMCO Advantage Euro Short-Term High Yield Corporate Bond UCITS ETF (Dist),EUHI.DE,PIMCO Advantage Euro Short-Term High Yield Corporate Bond Index UCITS ETF EUR Income
LU1681040496,AHYE,Amundi Euro High Yield Bond ESG UCITS ETF EUR (C),AHYE.DE,Amundi Index Solutions - Amundi EURO High Yield Bond ESG - UCITS ETF DR - EUR (C)
LU1812090543,LYQY,Amundi EUR High Yield Corporate Bond ESG UCITS ETF Dist,LYQY.DE,Amundi Index Solution - Amundi EUR High Yield Corporate Bond ESG UCITS ETF Dist
IE00BKLC5874,AYE3,iShares EUR High Yield Corporate Bond ESG SRI UCITS ETF EUR (Dist),EHYD.AS,iShares € High Yield Corp Bond ESG SRI UCITS ETF EUR (Dist)
IE000AK4O3W6,IE3E,iShares EUR Corporate Bond 0-3yr ESG SRI UCITS ETF EUR (Acc),IE3E.DE,iShares € Corp Bond 0-3yr ESG SRI UCITS ETF EUR (Acc)
IE00BYZTVV78,QDVL,iShares EUR Corporate Bond 0-3yr ESG SRI UCITS ETF EUR (Dist),QDVL.DE,iShares € Corp Bond 0-3yr ESG SRI UCITS ETF EUR (Dist)
IE0006GNB732,XZHE,Xtrackers EUR High Yield Corporate Bond SRI PAB UCITS ETF 1C,XZHE.DE,Xtrackers EUR High Yield Corporate Bond SRI PAB UCITS ETF 1C
IE00BC7GZW19,SYBD,State Street SPDR Bloomberg 0-3 Year Euro Corporate Bond UCITS ETF EUR Unhedged (Dist),SYBD.DE,State Street SPDR Bloomberg 0-3 Year Euro Corporate Bond UCITS ETF
IE00BJK55C48,AYE2,iShares EUR High Yield Corporate Bond ESG SRI UCITS ETF EUR (Acc),AYE2.DE,iShares € High Yield Corp Bond ESG SRI UCITS ETF EUR (Acc)
IE00BG0J4B71,EH1Y,iShares Broad EUR High Yield Corporate Bond UCITS ETF EUR (Dist),EH1Y.DE,iShares Broad € High Yield Corp Bond UCITS ETF EUR (Dist)
LU2178481649,XZE5,Xtrackers II EUR Corporate Bond Short Duration SRI PAB UCITS ETF 1C,XZE5.DE,Xtrackers II EUR Corporate Bond Short Duration SRI PAB UCITS ETF 1C
LU1109943388,XHYA,Xtrackers EUR High Yield Corporate Bond UCITS ETF 1C,XHYA.DE,Xtrackers II EUR High Yield Corporate Bond UCITS ETF 1C
LU1109942653,XHYG,Xtrackers EUR High Yield Corporate Bond UCITS ETF 1D,XHYG.DE,Xtrackers II EUR High Yield Corporate Bond UCITS ETF 1D
IE00B66F4759,EUNW,iShares EUR High Yield Corporate Bond UCITS ETF EUR (Dist),EUNW.DE,iShares € High Yield Corp Bond UCITS ETF EUR (Dist)
IE000YYE6WK5,DFEN,VanEck Defense UCITS ETF A,DFEN.DE,VanEck Defense ETF A USD Acc
IE00B6YX5M31,SYBJ,State Street SPDR Bloomberg Euro High Yield Bond UCITS ETF EUR Unhedged (Dist),SYBJ.DE,State Street SPDR Bloomberg Euro High Yield Bond UCITS ETF
IE00B14X4Q57,IBCA,iShares Euro Government Bond 1-3yr UCITS ETF (Dist),IBCA.DE,iShares € Govt Bond 1-3yr UCITS ETF EUR (Dist)
LU2244386053,ASRF,BNP Paribas Easy EUR High Yield SRI Fossil Free UCITS ETF Acc,ASRF.DE,BNP Paribas Easy € High Yield SRI Fossil Free
BGSLOBI02187,SLQX,Expat Slovenia SBI TOP UCITS ETF,SLQX.DE,Expat Slovenia SBI Top UCITS ETF
IE00B4L60045,EUNT,iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Dist),EUNT.DE,iShares € Corp Bond 1-5yr UCITS ETF EUR (Dist)
LU1048314196,UEF6,UBS BBG Euro Area Liquid Corp 1-5 UCITS ETF EUR dis,UEF6.DE,UBS BBG Euro Area Liquid Corp 1-5 UCITS ETF EUR dis
IE00B3VTMJ91,SXRN,iShares Euro Government Bond 1-3yr UCITS ETF (Acc),CSBGE3.MI,iShares VII PLC - iShares € Govt Bond 1-3yr ETF EUR Acc
LU0925589839,XYP1,Xtrackers Eurozone Government Bond Yield Plus 1-3 UCITS ETF 1C,XYP1.DE,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 1-3 UCITS ETF 1C
LU1598691050,LYT6,Amundi Italy BTP Government Bond 1-3Y UCITS ETF Dist,BTP13.MI,Amundi Italy BTP Government Bond 1-3Y UCITS ETF Dis
IE00BP9F2J32,LDCE,PIMCO Advantage Euro Low Duration Corporate Bond UCITS ETF Dist,LDCE.DE,PIMCO Advantage Euro Low Duration Corporate Bond UCITS ETF Income
LU2090063327,LYSM,Amundi MSCI Semiconductors UCITS ETF Dist,,
LU1525418643,A4H7,Amundi EUR Corporate Bond 1-5Y ESG UCITS ETF DR,A4H7.DE,Amundi Index Solution - Amundi EUR Corporate Bond 1-5Y ESG UCITS ETF Acc
DE000A0F5UJ7,EXV1,iShares STOXX Europe 600 Banks UCITS ETF (DE),EXV1.DE,iShares STOXX Europe 600 Banks UCITS ETF (DE)
IE00BYMB4Q22,ITBL,WisdomTree FTSE MIB Banks,ITBL.MI,WisdomTree FTSE MIB Banks
LU1834983477,LBNK,Amundi STOXX Europe 600 Banks UCITS ETF Acc,LBNK.DE,Multi Units Luxembourg - Amundi STOXX Europe 600 Banks UCITS ETF Acc
LU2082996112,INDA,Amundi STOXX Europe 600 Banks UCITS ETF Dist,INDA.DE,Multi Units Luxembourg - Amundi STOXX Europe 600 Banks UCITS ETF Inc
LU0290356871,DBXP,Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1C,DBXP.DE,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF
LU1829219390,LYBK,Amundi Euro Stoxx Banks UCITS ETF Acc,LYBK.DE,Amundi Euro Stoxx Banks UCITS ETF Acc
DE0006289309,EXX1,iShares EURO STOXX Banks 30-15 UCITS ETF (DE),EXX1.DE,iShares EURO STOXX Banks 30-15 UCITS ETF (DE)
IE00B5MTWD60,SC0U,Invesco European Banks Sector UCITS ETF,SC0U.DE,Invesco STOXX Europe 600 Optimised Banks UCITS ETF
LU0614173549,X03B,Xtrackers Eurozone Government Bond 1-3 UCITS ETF 1D,X03B.DE,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1D
FR0010930644,AMEE,Amundi Global Hydrogen UCITS ETF Acc,AMEE.DE,Amundi Global Hydrogen UCITS ETF - Acc
IE00BF59RW70,JER5,JPMorgan EUR Corporate Bond 1-5 yr Research Enhanced Index (ESG) UCITS ETF,JER5.DE,JPMorgan ETFs Ireland ICAV - JPM EUR 1-5 yr IG Corporate Bond Active UCITS ETF - EUR (acc)
IE00BLS09N40,0LJI,WisdomTree EURO STOXX Banks 3x Daily Leveraged,3BAL.MI,WisdomTree EURO STOXX Banks 3x Daily Leveraged
NL0011683594,VDIV,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF,VDIV.DE,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF
IE00B3Q19T94,S7XE,Invesco EURO STOXX Optimised Banks UCITS ETF,S7XE.DE,Invesco EURO STOXX Optimised Banks UCITS ETF
IE00BGJWWY63,EIB3,Invesco Euro Government Bond 1-3 Year UCITS ETF Dist,EIB3.DE,Invesco Euro Government Bond 1-3 Year UCITS ETF
LU1681046345,X13G,Amundi Euro Lowest Rated IG Government Bond 1-3Y UCITS ETF EUR Acc,X13G.MI,Amundi Index Solutions - Amundi Euro Lowest Rated IG Government Bond 1-3Y UCITS ETF-C
LU1900066033,LSMC,Amundi MSCI Semiconductors UCITS ETF Acc,CHIP.MI,Amundi MSCI Semiconductors UCITS ETF Acc
FR0010655746,AMES,Amundi IBEX 35 UCITS ETF Acc,AMES.DE,Amundi IBEX 35 UCITS ETF Acc
DE000A2QP372,EXI4,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR (Acc),EXA1.AS,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR Acc
LU1650487413,LYQ2,Amundi Euro Government Bond 1-3Y UCITS ETF Acc,LYQ2.DE,Amundi Euro Government Bond 1-3Y UCITS ETF Acc
LU0994505336,XESD,Xtrackers Spanish Equity UCITS ETF 1D,XESD.DE,Xtrackers Spain UCITS ETF 1D
LU0592216393,XESP,Xtrackers Spanish Equity UCITS ETF 1C,XESP.DE,Xtrackers Spain UCITS ETF 1C
LU1650487926,EGV3,Amundi Euro Government Bond 1-3Y UCITS ETF Dist,EGV3.DE,Amundi Euro Government Bond 1-3Y UCITS ETF Dist
IE00BYVZV757,JE13,JPMorgan BetaBuilders EUR Government Bond 1-3 UCITS ETF EUR (Acc),JE13.DE,JPMorgan ETFs (Ireland) ICAV - BetaBuilders EUR Govt Bond 1-3 yr UCITS ETF
IE00BF2B0L69,FLXD,Franklin European Quality Dividend UCITS ETF (Dist),FLXD.DE,Franklin European Quality Dividend UCITS ETF
IE0004U3TX15,MTVR,L&G Metaverse UCITS ETF USD Acc,MTVR.DE,L&G Metaverse ETF USD Acc
FR0011042753,IBEXA,Amundi IBEX 35 Doble Apalancado Diario (2x) UCITS ETF Acc,IBEXAE.XC,Amundi IBEX 35 Doble Apalancado Diario (2x) UCITS ETF
LU2552296563,XY2D,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 1-3 UCITS ETF 2D,XY2D.DE,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 1-3 UCITS ETF 2D
XS2663694680,PLT3,Leverage Shares 3x Palantir ETP,PLT3.L,LEVERAGE SHARES PUBLIC LIMITED 
IE000F6G1DE0,IE1A,iShares EUR Corporate Bond 1-5yr UCITS ETF EUR (Acc),IE1A.DE,iShares € Corp Bond 1-5yr UCITS ETF EUR (Acc)
IE000I8KRLL9,SEC0,iShares MSCI Global Semiconductors UCITS ETF USD (Acc),SEC0.DE,iShares MSCI Global Semiconductors UCITS ETF USD Acc
IE000YU9K6K2,JEDI,VanEck Space Innovators UCITS ETF,JEDI.DE,VanEck Space Innovators UCITS ETF
IE000YDZG487,HNSC,HSBC Nasdaq Global Semiconductor UCITS ETF,HNSC.MI,HSBC NASDAQ Global Semiconductor UCITS ETF USD
DE000ETF7029,F702,Amundi Multi-Asset Portfolio Defensive UCITS ETF Dist,F702.DE,Amundi Multi-Asset Portfolio Defensive UCITS ETF Dist
IE00BWTNM743,FTG5,First Trust Indxx NextG UCITS ETF Acc,NXTG.MI,First Trust Indxx NextG UCITS ETF
IE00BMW42306,ESIF,iShares MSCI Europe Financials Sector UCITS ETF EUR (Acc),ESIF.DE,iShares MSCI Europe Financials Sector UCITS ETF
IE00BNH72088,ZPRC,State Street SPDR FTSE Global Convertible Bond UCITS ETF USD Unhedged (Dist),ZPRC.DE,State Street SPDR FTSE Global Convertible Bond UCITS ETF
IE00B87RLX93,IS3B,iShares Euro Corporate Bond Financials UCITS ETF,IS3B.DE,iShares € Corp Bond Financials UCITS ETF EUR (Dist)
IE00BG0SKF03,5MVL,iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc),5MVL.DE,iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc)
IE00BKWQ0G16,SPYZ,State Street SPDR MSCI Europe Financials UCITS ETF EUR,SPYZ.DE,State Street SPDR MSCI Europe Financials UCITS ETF
LU1805389258,UIQL,UBS Core BBG Euro Area Liquid Corp UCITS ETF EUR dis,UIQL.DE,UBS Core BBG Euro Area Liquid Corp UCITS ETF EUR dis
IE00B4L5ZY03,EUNS,iShares EUR Corporate Bond ex-Financials 1-5yr ESG SRI UCITS ETF EUR (Dist),EUNS.DE,iShares € Corp Bond ex-Financials 1-5yr ESG SRI UCITS ETF EUR (Dist)
XS2435550947,3LCR,GraniteShares 3x Long UniCredit Daily ETP,3LCR.MI,GraniteShares 3x Long UniCredit Daily ETP
LU0292096186,XGSD,Xtrackers STOXX Global Select Dividend 100 Swap UCITS ETF 1D,XGSD.DE,Xtrackers Stoxx Global Select Dividend 100 Swap UCITS ETF 1D
IE00BZ4BMM98,EHDV,Invesco EURO STOXX High Dividend Low Volatility UCITS ETF,EHDV.DE,Invesco EURO STOXX High Dividend Low Volatility UCITS ETF
LU1130156596,CAHGBD,UBS MSCI Canada UCITS ETF hGBP dis,,
DE0002635299,EXSH,iShares STOXX Europe Select Dividend 30 UCITS ETF (DE),EXSH.DE,iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)
DE000A0F5UH1,ISPA,iShares STOXX Global Select Dividend 100 UCITS ETF (DE),ISPA.DE,iShares STOXX Global Select Dividend 100 UCITS ETF (DE)
LU0659579063,XB4A,Xtrackers ATX UCITS ETF 1C,XB4A.DE,Xtrackers ATX UCITS ETF 1C
LU0274212538,DBXI,Xtrackers FTSE MIB UCITS ETF 1D,DBXI.DE,Xtrackers FTSE MIB UCITS ETF 1D
IE00BZ0XVG69,WTIG,WisdomTree AT1 CoCo Bond UCITS ETF USD Acc,WTIG.DE,WisdomTree AT1 CoCo Bond UCITS ETF - USD Acc
FR0013416716,GLDA,Amundi Physical Gold ETC (C),GOLD.MI,Amundi Physical Gold ETC C
IE00BDT6FP91,SPF1,State Street SPDR FTSE Global Convertible Bond UCITS ETF EUR Hedged (Acc),SPF1.DE,State Street SPDR FTSE Global Convertible Bond EUR Hdg UCITS ETF (Acc)
IE00B53L4X51,SXRY,iShares FTSE MIB UCITS ETF (Acc),SXRY.DE,iShares VII PLC - iShares FTSE MIB ETF EUR Acc
IE00B1XNH568,2B7V,iShares FTSE MIB UCITS ETF EUR (Dist),IMIB.MI,iShares FTSE MIB UCITS ETF EUR (Dist)
IE00BZ0XVF52,WTDI,WisdomTree AT1 CoCo Bond UCITS ETF,WTDI.DE,WisdomTree AT1 CoCo Bond UCITS ETF - USD
LU0468897110,D5BC,Xtrackers II Germany Government Bond 1-3 UCITS ETF 1D,D5BC.DE,Xtrackers II Germany Government Bond 1-3 UCITS ETF
DE000A0S9GB0,4GLD,Xetra-Gold,4GLD.DE,DT.BOERSE COM. XETRA-GOLD
LU2533810862,BJLG,BNP Paribas Easy JPM ESG EMU Government Bond IG 1-3Y UCITS ETF Acc,BJLG.DE,BNP PARIBAS EASY - JPM Tilted EMU Government Bond IG 1-3Y UCITS ETF CAPITALISATION
IE00BSKRK281,IS06,iShares Euro Corporate Bond BBB-BB UCITS ETF,IS06.DE,iShares € Corp Bond BBB-BB UCITS ETF EUR (Dist)
LU1812092168,SELD,Amundi Stoxx Europe Select Dividend 30 UCITS ETF Dist,SELD.DE,Amundi Stoxx Europe Select Dividend 30 UCITS ETF D
LU1130156323,UC87,UBS MSCI Canada UCITS ETF hGBP acc,,
DE000A0D8Q23,EXXX,iShares ATX UCITS ETF (DE),EXXX.DE,iShares ATX UCITS ETF (DE)
IE00BP3QZB59,IS3S,iShares Edge MSCI World Value Factor UCITS ETF,IS3S.DE,iShares Edge MSCI World Value Factor UCITS ETF USD (Acc)
IE00BL25JM42,XDEV,Xtrackers MSCI World Value UCITS ETF 1C,XDEV.DE,Xtrackers MSCI World Value UCITS ETF 1C
DE000ETFL185,EL4S,Deka Deutsche Boerse EUROGOV Germany 1-3 UCITS ETF,EL4S.DE,Deka Deutsche Börse EUROGOV Germany 1-3 UCITS ETF
IE00BDT6FS23,GCVC,State Street SPDR FTSE Global Convertible Bond UCITS ETF CHF Hedged (Acc),GCVC.SW,State Street SPDR FTSE Global Convertible Bond CHF Hdg UCITS ETF (Acc)
IE000Q2P3ZQ3,IGLG,iShares Physical Gold GBP Hedged ETC,IGLG.L,iShares Physical Gold GBP Hedged ETC
LU0659579147,XBAK,Xtrackers MSCI Pakistan Swap UCITS ETF 1C,XBAK.DE,Xtrackers MSCI Pakistan Swap UCITS ETF 1C
IE00B4ND3602,PPFB,iShares Physical Gold ETC,SGLN.MI,iShares Physical Gold ETC
DE000A2T0VU5,XGDU,Xtrackers IE Physical Gold ETC Securities,XGDU.DE,XTrackers ETC PLC             E
DE000A1E0HR8,XAD5,Xtrackers Physical Gold ETC (EUR),XAD5.MI,Xtrackers Physical Gold ETC (EUR)
DE000A2UDH48,XGDG,Xtrackers IE Physical Gold GBP Hedged ETC Securities,XGDG.L,
LU0292103651,XS7R,Xtrackers MSCI Europe Financials Screened UCITS ETF 1C,XS7R.DE,Xtrackers MSCI Europe Financials Screened UCITS ETF 1C
IE000MUAJIF4,ECMD,Invesco EUR Corporate Bond ESG Short Duration Multi-Factor UCITS ETF Dist,ECMD.DE,InvescoM2-EUR CB ESG SD Mu ETFR
IE00BYPHT736,XDEP,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1D,XDEP.DE,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1D
IE000PA766T7,ECMS,Invesco EUR Corporate Bond ESG Short Duration Multi-Factor UCITS ETF Acc,ECMS.DE,Invesco EUR Corporate Bond ESG Short Duration Multi-Factor UCITS ETF EUR Acc
IE00B579F325,8PSG,Invesco Physical Gold ETC,SGLD.MI,Invesco Physical Gold ETC
JE00B7VG2M16,GBSP,WisdomTree Physical Gold - GBP Daily Hedged,GBSP.L,
GB00B68FL050,XGLS,Xtrackers Physical Gold GBP Hedged ETC,XGLS.L,Xtrackers Physical Gold GBP Hedged ETC
IE00BMQ5Y557,TCRS,Janus Henderson HMT Global IG Credit Curve Steepener Core UCITS ETF EUR Acc.,TCRS.DE,Janus Henderson HMT Global IG Credit Curve Steepener Core UCITS ETF Acc
IE00BDT6FT30,GCVG,State Street SPDR FTSE Global Convertible Bond UCITS ETF GBP Hedged (Dist),GCVG.L,State Street SPDR FTSE Global Convertible Bond GBP Hdg UCITS ETF (Inc)
IE00BGV5VN51,XAIX,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C,XAIX.DE,Xtrackers Artificial Intelligence & Big Data UCITS ETF 1C
JE00B588CD74,GZUR,WisdomTree Physical Swiss Gold,SGBS.MI,WisdomTree Physical Swiss Gold
JE00BN2CJ301,WGLD,WisdomTree Core Physical Gold,WGLD.MI,WisdomTree Core Physical Gold USD ETC
XS2183935605,SGLS,Invesco Physical Gold GBP Hedged ETC,SGLS.L,Invesco Physical Gold ETC GBP Hedged
LU1130155606,CAHEUA,UBS MSCI Canada UCITS ETF hEUR acc,CAHEUA.MI,UBS MSCI Canada UCITS ETF hEUR acc
IE00B3Y8D011,XS7W,Xtrackers Portfolio Income UCITS ETF 1D,XS7W.DE,Xtrackers Portfolio Income UCITS ETF 1D
DE0002635281,EXSG,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE),EXSG.DE,iShares EURO STOXX Select Dividend 30 UCITS ETF (DE)
IE00BFYTYS33,QDV3,iShares Edge MSCI World Value Factor UCITS ETF USD (Dist),IWVU.L,iShares Edge MSCI World Value Factor UCITS ETF USD (Dist)
IE000CM02H85,FLXT,Franklin FTSE Taiwan UCITS ETF SINGLCLASS,FLXT.DE,Franklin FTSE Taiwan UCITS ETF
IE000UX5WPU4,XYPL,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1C,XYPL.DE,Xtrackers iBoxx EUR Corporate Bond Yield Plus UCITS ETF 1C
BGHUBUX01189,HUBE,Expat Hungary BUX UCITS ETF,HUBE.DE,Expat Hungary BUX UCITS ETF
IE00B0M62S72,IQQA,iShares Euro Dividend UCITS ETF,IQQA.DE,iShares Euro Dividend UCITS ETF EUR Dist
LU0397221945,XQUI,Xtrackers Portfolio UCITS ETF 1C,XQUI.DE,Xtrackers Portfolio UCITS ETF 1C
DE000ETFL078,EL4G,Deka EURO STOXX Select Dividend 30 UCITS ETF,EL4G.DE,Deka EURO STOXX Select Dividend 30 UCITS ETF
LU1215415214,LGQJ,Amundi Euro High Yield Bond ESG UCITS ETF Dist,AHYE.DE,Amundi Index Solutions - Amundi EURO High Yield Bond ESG - UCITS ETF DR - EUR (C)
IE00BDT6FR16,SPF2,State Street SPDR FTSE Global Convertible Bond UCITS ETF USD Hedged (Dist),SPF2.DE,State Street SPDR FTSE Global Convertible Bond USD Hdg UCITS ETF (Inc)
JE00B1VS3770,VZLD,WisdomTree Physical Gold,PHAU.MI,WisdomTree Physical Gold
IE0009JOT9U1,IGLD,iShares Physical Gold EUR Hedged ETC,IGLD.DE,iShares Physical Metals PLC   O
