isin,symbol,name
DE0006289309,EXX1.DE,iShares EURO STOXX Banks 30-15 UCITS ETF (DE)
IE00B5MTWD60,SC0U.DE,Invesco STOXX Europe 600 Optimised Banks UCITS ETF
LU0614173549,X03B.DE,Xtrackers II Eurozone Government Bond 1-3 UCITS ETF 1D
FR0010930644,AMEE.DE,Amundi Global Hydrogen UCITS ETF - Acc
IE00BF59RW70,JER5.DE,JPMorgan ETFs Ireland ICAV - JPM EUR 1-5 yr IG Corporate Bond Active UCITS ETF - EUR (acc)
IE00BLS09N40,3BAL.MI,WisdomTree EURO STOXX Banks 3x Daily Leveraged
NL0011683594,VDIV.DE,VanEck Morningstar Developed Markets Dividend Leaders UCITS ETF
IE00B3Q19T94,S7XE.DE,Invesco EURO STOXX Optimised Banks UCITS ETF
IE00BGJWWY63,EIB3.DE,Invesco Euro Government Bond 1-3 Year UCITS ETF
LU1681046345,X13G.MI,Amundi Index Solutions - Amundi Euro Lowest Rated IG Government Bond 1-3Y UCITS ETF-C
LU1900066033,LSMC.DE,Amundi MSCI Semiconductors ESG Screened UCITS ETF
FR0010251744,LYXIB.MC,Amundi IBEX 35 UCITS ETF
FR0010655746,AMES.DE,Amundi IBEX 35 UCITS ETF Acc
DE000A2QP372,EXA1.AS,iShares EURO STOXX Banks 30-15 UCITS ETF (DE) EUR Acc
LU1650487413,LYQ2.DE,Amundi Euro Government Bond 1-3Y UCITS ETF Acc
LU0994505336,XESD.DE,Xtrackers Spain UCITS ETF 1D
LU0592216393,XESP.DE,Xtrackers Spain UCITS ETF 1C
LU1650487926,EGV3.DE,Amundi Euro Government Bond 1-3Y UCITS ETF Dist
IE00BYVZV757,JE13.DE,JPMorgan ETFs (Ireland) ICAV - BetaBuilders EUR Govt Bond 1-3 yr UCITS ETF
IE00BF2B0L69,FLXD.DE,Franklin European Quality Dividend UCITS ETF
IE0004U3TX15,MTVR.DE,L&G Metaverse ETF USD Acc
FR0011042753,IBEXAE.XC,Amundi IBEX 35 Doble Apalancado Diario (2x) UCITS ETF
IE00BF3N7094,HIGH.L,iShares € High Yield Corp Bond UCITS ETF
LU2552296563,XY2D.DE,Xtrackers II iBoxx Eurozone Government Bond Yield Plus 1-3 UCITS ETF 2D
XS2663694680,PLT3.L,LEVERAGE SHARES PUBLIC LIMITED 
IE000F6G1DE0,IE1A.DE,iShares € Corp Bond 1-5yr UCITS ETF EUR (Acc)
IE000I8KRLL9,SEC0.DE,iShares MSCI Global Semiconductors UCITS ETF USD Acc
IE000YU9K6K2,JEDI.DE,VanEck Space Innovators UCITS ETF
IE000YDZG487,HNSC.MI,HSBC NASDAQ Global Semiconductor UCITS ETF USD
DE000ETF7029,F702.DE,Amundi Multi-Asset Portfolio Defensive UCITS ETF Dist
IE00BWTNM743,NXTG.MI,First Trust Indxx NextG UCITS ETF
IE00BMW42306,ESIF.DE,iShares MSCI Europe Financials Sector UCITS ETF
IE00BNH72088,ZPRC.DE,State Street SPDR FTSE Global Convertible Bond UCITS ETF
IE00B87RLX93,IS3B.DE,iShares € Corp Bond Financials UCITS ETF EUR (Dist)
IE00BG0SKF03,5MVL.DE,iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc)
IE00BKWQ0G16,SPYZ.DE,State Street SPDR MSCI Europe Financials UCITS ETF
LU1805389258,UIQL.DE,UBS Core BBG Euro Area Liquid Corp UCITS ETF EUR dis
IE00B4L5ZY03,EUNS.DE,iShares € Corp Bond ex-Financials 1-5yr ESG SRI UCITS ETF EUR (Dist)
XS2435550947,3LCR.MI,GraniteShares 3x Long UniCredit Daily ETP
LU0292096186,XGSD.DE,Xtrackers Stoxx Global Select Dividend 100 Swap UCITS ETF 1D
IE00BZ4BMM98,EHDV.DE,Invesco EURO STOXX High Dividend Low Volatility UCITS ETF
DE0002635299,EXSH.DE,iShares STOXX Europe Select Dividend 30 UCITS ETF (DE)
DE000A0F5UH1,ISPA.DE,iShares STOXX Global Select Dividend 100 UCITS ETF (DE)
LU0659579063,XB4A.DE,Xtrackers ATX UCITS ETF 1C
LU0274212538,DBXI.DE,Xtrackers FTSE MIB UCITS ETF 1D
IE00BZ0XVG69,WTIG.DE,WisdomTree AT1 CoCo Bond UCITS ETF - USD Acc
FR0013416716,GOLD.MI,Amundi Physical Gold ETC C
IE00BDT6FP91,SPF1.DE,State Street SPDR FTSE Global Convertible Bond EUR Hdg UCITS ETF (Acc)
IE00B53L4X51,SXRY.DE,iShares VII PLC - iShares FTSE MIB ETF EUR Acc
IE00B1XNH568,IMIB.MI,iShares FTSE MIB UCITS ETF EUR (Dist)
IE00BZ0XVF52,WTDI.DE,WisdomTree AT1 CoCo Bond UCITS ETF - USD
LU0468897110,D5BC.DE,Xtrackers II Germany Government Bond 1-3 UCITS ETF
DE000A0S9GB0,4GLD.DE,DT.BOERSE COM. XETRA-GOLD
LU2533810862,BJLG.DE,BNP PARIBAS EASY - JPM Tilted EMU Government Bond IG 1-3Y UCITS ETF CAPITALISATION
IE00BSKRK281,IS06.DE,iShares € Corp Bond BBB-BB UCITS ETF EUR (Dist)
LU1812092168,SELD.DE,Amundi Stoxx Europe Select Dividend 30 UCITS ETF D
DE000A0D8Q23,EXXX.DE,iShares ATX UCITS ETF (DE)
IE00BP3QZB59,IS3S.DE,iShares Edge MSCI World Value Factor UCITS ETF USD (Acc)
IE00BL25JM42,XDEV.DE,Xtrackers MSCI World Value UCITS ETF 1C
FR0010010827,MIB.PA,Amundi FTSE MIB UCITS ETF
DE000ETFL185,EL4S.DE,Deka Deutsche Börse EUROGOV Germany 1-3 UCITS ETF
IE00BDT6FS23,GCVC.SW,State Street SPDR FTSE Global Convertible Bond CHF Hdg UCITS ETF (Acc)
IE000Q2P3ZQ3,IGLG.L,iShares Physical Gold GBP Hedged ETC
LU0659579147,XBAK.DE,Xtrackers MSCI Pakistan Swap UCITS ETF 1C
IE00B4ND3602,SGLN.MI,iShares Physical Gold ETC
DE000A2T0VU5,XGDU.DE,XTrackers ETC PLC             E
